transaction_id,event_ts,province,channel,merchant_category,customer_segment,amount_cad,risk_score,risk_tier,reason_code,is_fraud
TX0016686,2026-06-15 23:53:00,MB,E-commerce,Electronics,Everyday,4900.0,0.9999965181195348,Critical,"high amount, unusual hour",0
TX0029277,2026-05-11 16:41:00,ON,Mobile wallet,Electronics,Everyday,4900.0,0.9999897138411954,Critical,high amount,0
TX0020113,2026-02-19 11:21:00,QC,Point of sale,Electronics,Everyday,4900.0,0.9999887940431738,Critical,high amount,0
TX0006173,2026-04-16 05:44:00,ON,Point of sale,Cash,Everyday,4295.64,0.9999644922899208,Critical,"low device trust, high amount",0
TX0027474,2026-06-09 01:04:00,AB,Recurring,Cash,Everyday,4412.02,0.9999365670462219,Critical,"high amount, unusual hour",1
TX0003476,2026-05-29 15:47:00,ON,ATM,Electronics,Everyday,4198.9,0.9999059040261753,Critical,high amount,0
TX0038853,2026-03-17 17:20:00,AB,Point of sale,Electronics,Small business,4181.24,0.9998993508692261,Critical,high amount,0
TX0052502,2026-03-11 19:25:00,QC,Point of sale,Dining,Small business,4271.27,0.9998515731349226,Critical,high amount,0
TX0031433,2026-02-20 12:55:00,QC,Recurring,Electronics,Everyday,3578.45,0.9997362351924917,Critical,high amount,0
TX0007990,2026-04-21 03:28:00,QC,E-commerce,Travel,Student,3272.63,0.9997358803218807,Critical,"high amount, unusual hour",0
TX0042224,2026-06-16 11:55:00,QC,Mobile wallet,Dining,Everyday,3554.36,0.9997289710181515,Critical,high amount,0
TX0001765,2026-08-14 19:32:00,ON,E-commerce,Travel,Everyday,3608.71,0.9995904325231588,Critical,high amount,0
TX0055839,2026-05-26 16:31:00,AB,ATM,Travel,Student,3622.32,0.9995305507199492,Critical,high amount,0
TX0021237,2026-05-15 10:06:00,AB,ATM,Electronics,Everyday,3397.78,0.9994507282949474,Critical,high amount,0
TX0006401,2026-02-12 22:31:00,ON,Point of sale,Travel,Affluent,3792.59,0.9994473862705746,Critical,high amount,0
TX0057660,2026-08-20 04:18:00,AB,Recurring,Travel,Everyday,2686.83,0.9994216670398756,Critical,"international, high amount, unusual hour",0
TX0017792,2026-02-18 13:05:00,ON,Recurring,Other,Everyday,3534.51,0.9991350607691404,Critical,high amount,0
TX0029035,2026-02-14 07:21:00,ON,Mobile wallet,Electronics,Everyday,3103.6,0.9990479597156923,Critical,high amount,0
TX0033154,2026-05-16 23:00:00,ON,Mobile wallet,Travel,Small business,3224.25,0.998556806339421,Critical,"high amount, unusual hour",0
TX0028760,2026-06-25 03:24:00,ON,Point of sale,Travel,Everyday,3235.13,0.9980693832890225,Critical,"high amount, unusual hour, new account",1
TX0054958,2026-01-28 05:09:00,QC,Point of sale,Travel,Everyday,3213.84,0.9980243189625183,Critical,high amount,0
TX0058028,2026-03-28 10:39:00,ON,E-commerce,Travel,Everyday,1868.22,0.9977678190452219,Critical,"international, high amount",0
TX0042229,2026-08-24 21:50:00,ON,E-commerce,Electronics,Student,1466.34,0.9973962894145468,Critical,"international, low device trust, high amount",1
TX0053262,2026-05-02 06:52:00,QC,Point of sale,Travel,Everyday,1963.37,0.9971404195802037,Critical,"international, high amount",0
TX0036588,2026-05-28 21:36:00,BC,Point of sale,Digital services,Affluent,2300.81,0.9970936744224912,Critical,"high velocity, high amount",1
TX0030650,2026-08-04 04:54:00,ON,E-commerce,Travel,Affluent,2068.72,0.9968420153445086,Critical,"high amount, unusual hour",0
TX0021643,2026-06-24 12:57:00,QC,E-commerce,Electronics,Everyday,2109.67,0.9966003643159635,Critical,high amount,0
TX0040750,2026-05-30 11:08:00,AB,Mobile wallet,Electronics,Small business,2408.76,0.9965658189356252,Critical,high amount,0
TX0036359,2026-03-11 20:46:00,BC,Recurring,Cash,Small business,3000.92,0.9962776744919006,Critical,high amount,0
TX0042568,2026-01-13 11:37:00,AB,ATM,Cash,Small business,2485.94,0.9959602838238736,Critical,"high velocity, high amount",0
TX0039641,2026-04-09 02:24:00,ON,E-commerce,Digital services,Student,2032.6,0.9957875163413019,Critical,"high amount, unusual hour",0
