transaction_id,customer_id,event_ts,province,channel,merchant_category,customer_segment,amount_cad,is_international,is_card_present,device_trust_score,account_age_days,transactions_24h,distance_from_home_km,hour_of_day,is_fraud,event_date,week_start,risk_score,is_alert,risk_tier,reason_code
TX0051852,C006499,2026-01-01 00:10:00,ON,Mobile wallet,Electronics,Student,131.26,0,0,53.9,257,3,33.8,0,0,2026-01-01,2025-12-29,0.5848569816681665,0,High,unusual hour
TX0052037,C010346,2026-01-01 00:13:00,QC,ATM,Dining,Everyday,170.84,0,0,63.7,269,3,22.0,0,0,2026-01-01,2025-12-29,0.2904870546121552,0,Guarded,unusual hour
TX0054814,C002613,2026-01-01 00:26:00,QC,E-commerce,Fuel,Student,54.5,0,0,63.7,224,4,3.7,0,0,2026-01-01,2025-12-29,0.5528290442762415,0,High,unusual hour
TX0010970,C006441,2026-01-01 00:27:00,SK,Mobile wallet,Travel,Everyday,194.94,0,0,54.5,708,5,52.3,0,0,2026-01-01,2025-12-29,0.5863916423184327,0,High,unusual hour
TX0051725,C012227,2026-01-01 00:41:00,ON,Point of sale,Digital services,Everyday,57.02,0,1,45.9,1242,4,28.6,0,0,2026-01-01,2025-12-29,0.42911537106615444,0,Guarded,unusual hour
TX0018640,C014308,2026-01-01 00:43:00,ON,E-commerce,Electronics,Everyday,157.74,0,0,90.6,1082,3,9.5,0,0,2026-01-01,2025-12-29,0.5776237314040654,0,High,unusual hour
TX0009648,C014212,2026-01-01 00:44:00,AB,Point of sale,Cash,Student,71.37,0,1,72.3,1080,4,1.4,0,0,2026-01-01,2025-12-29,0.22685078888462717,0,Low,unusual hour
TX0021410,C005788,2026-01-01 00:53:00,QC,Recurring,Digital services,Student,18.66,0,0,78.4,1783,3,14.1,0,0,2026-01-01,2025-12-29,0.2953117251785996,0,Guarded,unusual hour
TX0049249,C003502,2026-01-01 00:56:00,ON,Point of sale,Travel,New-to-bank,195.09,0,1,86.9,1587,1,35.0,0,0,2026-01-01,2025-12-29,0.1695381101504335,0,Low,unusual hour
TX0020672,C000849,2026-01-01 00:57:00,AB,Point of sale,Fuel,Everyday,22.98,0,1,99.3,218,2,30.4,0,0,2026-01-01,2025-12-29,0.10788035667188328,0,Low,unusual hour
TX0017442,C011731,2026-01-01 00:58:00,ON,Point of sale,Grocery,Affluent,152.06,0,1,50.3,1666,6,111.3,0,0,2026-01-01,2025-12-29,0.6405745971272806,1,High,unusual hour
TX0042616,C014654,2026-01-01 00:58:00,ON,Point of sale,Grocery,Small business,326.55,0,1,100.0,1329,3,15.8,0,0,2026-01-01,2025-12-29,0.20996505207446742,0,Low,unusual hour
TX0048422,C001709,2026-01-01 01:09:00,AB,Point of sale,Cash,Student,51.58,0,1,75.8,542,2,3.5,1,0,2026-01-01,2025-12-29,0.1443720932896293,0,Low,unusual hour
TX0015053,C009159,2026-01-01 01:24:00,BC,Point of sale,Other,New-to-bank,581.06,0,1,59.5,369,5,41.2,1,0,2026-01-01,2025-12-29,0.6598273977715443,1,High,"high amount, unusual hour"
TX0029484,C001754,2026-01-01 01:30:00,ON,ATM,Grocery,Everyday,31.26,0,0,75.0,863,1,37.8,1,0,2026-01-01,2025-12-29,0.14485789539106098,0,Low,unusual hour
TX0001807,C001987,2026-01-01 01:35:00,ON,E-commerce,Grocery,Student,5.27,0,0,73.3,600,2,42.3,1,0,2026-01-01,2025-12-29,0.43627722986241574,0,Guarded,unusual hour
TX0027208,C006678,2026-01-01 01:35:00,ON,Point of sale,Other,Small business,22.16,0,1,70.3,64,3,88.5,1,0,2026-01-01,2025-12-29,0.22487722568168775,0,Low,"unusual hour, new account"
TX0002963,C012438,2026-01-01 01:52:00,BC,Point of sale,Grocery,New-to-bank,13.81,0,1,94.0,537,4,33.9,1,0,2026-01-01,2025-12-29,0.16000699626604964,0,Low,unusual hour
TX0054889,C001612,2026-01-01 01:53:00,QC,Point of sale,Travel,Student,506.21,0,1,79.8,1634,4,1.6,1,0,2026-01-01,2025-12-29,0.4472953738393061,0,Guarded,"high amount, unusual hour"
TX0025934,C007148,2026-01-01 01:57:00,ON,ATM,Dining,Everyday,132.62,0,0,64.8,890,5,9.2,1,0,2026-01-01,2025-12-29,0.3210316157201542,0,Guarded,unusual hour
TX0029168,C013674,2026-01-01 02:04:00,BC,ATM,Other,Affluent,140.79,0,0,63.0,818,6,35.1,2,0,2026-01-01,2025-12-29,0.4804339331006368,0,Guarded,unusual hour
TX0023953,C001717,2026-01-01 02:12:00,ON,Point of sale,Other,Student,133.98,0,1,33.6,492,3,39.1,2,0,2026-01-01,2025-12-29,0.4031911182522783,0,Guarded,"low device trust, unusual hour"
TX0025383,C005891,2026-01-01 02:12:00,ON,Mobile wallet,Dining,Everyday,27.34,0,0,83.8,1546,1,80.0,2,0,2026-01-01,2025-12-29,0.263025416144822,0,Guarded,unusual hour
TX0024479,C003549,2026-01-01 02:13:00,QC,Point of sale,Other,Everyday,26.27,0,1,100.0,1165,2,43.4,2,0,2026-01-01,2025-12-29,0.13989046868565735,0,Low,unusual hour
TX0058910,C009152,2026-01-01 02:17:00,ON,Point of sale,Dining,Everyday,16.17,0,1,100.0,477,4,11.9,2,0,2026-01-01,2025-12-29,0.12984681163269443,0,Low,unusual hour
TX0058822,C011389,2026-01-01 02:19:00,ON,Point of sale,Digital services,Everyday,74.79,0,1,55.1,841,3,59.5,2,0,2026-01-01,2025-12-29,0.37818858497613794,0,Guarded,unusual hour
TX0051492,C012171,2026-01-01 02:22:00,QC,E-commerce,Fuel,Affluent,101.19,0,0,66.5,609,4,3.7,2,0,2026-01-01,2025-12-29,0.61171502874934,0,High,unusual hour
TX0023021,C004462,2026-01-01 02:25:00,ON,Recurring,Electronics,Everyday,44.1,0,0,58.2,1783,5,11.7,2,0,2026-01-01,2025-12-29,0.4243353098162513,0,Guarded,unusual hour
TX0037663,C011729,2026-01-01 02:40:00,ON,Mobile wallet,Grocery,Student,48.54,0,0,81.1,311,2,46.9,2,0,2026-01-01,2025-12-29,0.2866007869819887,0,Guarded,unusual hour
TX0032205,C003264,2026-01-01 02:43:00,BC,E-commerce,Grocery,Affluent,16.4,0,0,100.0,1868,4,2.9,2,0,2026-01-01,2025-12-29,0.42682662418304584,0,Guarded,unusual hour
TX0010342,C013766,2026-01-01 02:45:00,ON,E-commerce,Fuel,Everyday,83.06,0,0,65.3,1553,4,44.1,2,0,2026-01-01,2025-12-29,0.5910036459437685,0,High,unusual hour
TX0056166,C014624,2026-01-01 02:49:00,ON,Point of sale,Grocery,Everyday,134.57,0,1,68.3,2279,1,9.2,2,0,2026-01-01,2025-12-29,0.17572347182420542,0,Low,unusual hour
TX0014053,C000916,2026-01-01 02:51:00,ON,E-commerce,Grocery,Everyday,30.34,0,0,37.4,616,3,34.7,2,0,2026-01-01,2025-12-29,0.6076552119548834,0,High,unusual hour
TX0041916,C006670,2026-01-01 02:51:00,QC,Mobile wallet,Grocery,Everyday,38.01,1,0,40.7,1606,7,19.0,2,0,2026-01-01,2025-12-29,0.9309895168691397,1,Critical,"international, unusual hour"
TX0024957,C012826,2026-01-01 03:00:00,ON,Point of sale,Travel,New-to-bank,189.58,0,1,68.8,563,6,4.9,3,0,2026-01-01,2025-12-29,0.3437852343109635,0,Guarded,unusual hour
TX0052224,C006407,2026-01-01 03:05:00,QC,E-commerce,Electronics,Affluent,905.26,0,0,25.6,330,4,18.4,3,0,2026-01-01,2025-12-29,0.9756136907911716,1,Critical,"low device trust, high amount, unusual hour"
TX0050251,C004138,2026-01-01 03:19:00,ON,Mobile wallet,Digital services,Affluent,133.97,0,0,61.6,1115,4,32.7,3,0,2026-01-01,2025-12-29,0.643345139246036,1,High,unusual hour
